관리_건축물대장_PK,관리_상위_건축물대장_PK,새주소_지상지하_코드,주소,지상층수,지하층수,승강기_수,주건축물수,세대수,가구수,동명칭,호_명,층_구분_코드_x,층_구분_코드_y,층_번호,면적,용적율,주차_대수,y,x,업종_idx
11650-100251927,,지상,서울특별시 서초구 강남대로 527,16.0,6.0,3.0,,,,,,,,,,799.03,24.0,127.0218693,37.5090965,13
11650-9737,,지상,서울특별시 서초구 동산로 64,7.0,1.0,1.0,,,,,,,,,,392.12,15.0,127.0457816,37.4718182,13
11650-8904,,지상,서울특별시 서초구 마방로10길 18-4,5.0,1.0,0.0,,,,,,,,,,241.3,4.0,127.0435414,37.4765329,13
11590-8820,,지상,서울특별시 동작구 알마타길 20,6.0,1.0,1.0,,,,,,,,,,263.0,4.0,126.9273239,37.5109664,13
11500-7957,,지상,서울특별시 강서구 강서로5나길 60,4.0,1.0,0.0,,,,,,,,,,237.66,3.0,126.8448942,37.5286232,13
11680-100280683,,지상,서울특별시 강남구 언주로152길 15-3,4.0,1.0,1.0,,,,,,,,,,149.46,3.0,127.0348057,37.5230081,13
11680-8188,,지상,서울특별시 강남구 양재대로55길 31,6.0,1.0,0.0,,,,,,,,,,281.28,6.0,127.0870125,37.4929303,13
11260-9980,,지상,서울특별시 중랑구 면목로 357,5.0,1.0,0.0,,,,,,,,,,243.18,0.0,127.0881539,37.5840015,13
11560-4297,11560-1546,지상,영등포동3가 4-12,1.0,0.0,0.0,,,,,,,,,,0.0,0.0,126.9070586,37.5191295,13
11560-3670,11560-130,지상,서울특별시 영등포구 영등포로45길 18,2.0,0.0,0.0,,,,,,,,,,0.0,0.0,126.9084468,37.5209057,13
11710-191,,지상,서울특별시 송파구 오금로 407,,,,7.0,814.0,0.0,,,,,,,0.0,0.0,127.1363903,37.4980109,13
11710-100478121,,지상,서울특별시 송파구 삼학사로 47,8.0,1.0,1.0,,,,,,,,,,248.29,25.0,127.0966635,37.5016597,13
11560-11922,,지상,도림동 152-170,1.0,0.0,0.0,,,,,,,,,,59.72,0.0,126.9019983,37.5074942,13
11680-100310463,,지상,서울특별시 강남구 봉은사로18길 56,2.0,2.0,1.0,,,,,,,,,,95.69,6.0,127.0283677,37.5029888,13
11680-13179,,지상,서울특별시 강남구 일원로9길 62,4.0,1.0,0.0,,,,,,,,,,184.88,5.0,127.0865824,37.4907354,13
11680-19108,,지상,서울특별시 강남구 도곡로 156,7.0,2.0,1.0,,,,,,,,,,249.68,25.0,127.0370797,37.4909494,13
11680-20750,,지상,서울특별시 강남구 선릉로 320,3.0,1.0,0.0,,,,,,,,,,138.59,0.0,127.0522104,37.4982857,13
11620-29451,,지상,서울특별시 관악구 봉천로 353-1,6.0,1.0,0.0,,,,,,,,,,246.47,4.0,126.9396933,37.4845412,13
11380-16095,,지상,서울특별시 은평구 갈현로 187,2.0,0.0,0.0,,,,,,,,,,0.0,0.0,126.912322,37.6146849,13
11470-664,,지상,서울특별시 양천구 목동중앙북로8길 111,,,,6.0,507.0,0.0,,,,,,,236.5,707.0,126.8681487,37.5453807,13
