관리_건축물대장_PK,관리_상위_건축물대장_PK,새주소_지상지하_코드,주소,지상층수,지하층수,승강기_수,주건축물수,세대수,가구수,동명칭,호_명,층_구분_코드_x,층_구분_코드_y,층_번호,면적,용적율,주차_대수
11290-1377,,지상,서울특별시 성북구 성북로4길 52,,,,41.0,4515.0,0.0,,,,,,,0.0,4932.0
11200-21578,,지상,서울특별시 성동구 연무장길 37-14,2.0,0.0,0.0,,,,,,,,,,117.79,0.0
11230-33385,,지상,서울특별시 동대문구 제기로17길 29-3,2.0,0.0,0.0,,,,,,,,,,0.0,0.0
11230-30032,,지상,서울특별시 동대문구 답십리로66길 34,3.0,1.0,0.0,,,,,,,,,,0.0,0.0
11230-17158,,지상,서울특별시 동대문구 회기로 145,5.0,1.0,0.0,,,,,,,,,,0.0,0.0
11230-12319,,지상,서울특별시 동대문구 사가정로25가길 3,4.0,1.0,0.0,,,,,,,,,,0.0,3.0
11110-22135,,지상,서울특별시 종로구 종로41나길 21-1,1.0,0.0,0.0,,,,,,,,,,45.21,0.0
11590-15601,,지상,서울특별시 동작구 동작대로27길 5,6.0,1.0,2.0,,,,,,,,,,284.49,29.0
11170-12961,,지상,서울특별시 용산구 원효로 51,4.0,3.0,2.0,,,,,,,,,,10.84,0.0
11230-100187835,,지상,서울특별시 동대문구 이문로9가길 13,4.0,1.0,1.0,,,,,,,,,,144.73,4.0
11470-21554,,지상,서울특별시 양천구 오목로 58,4.0,1.0,0.0,,,,,,,,,,0.0,0.0
11200-1000000000000001164295,,지상,서울특별시 성동구 서울숲2길 24-7,4.0,0.0,1.0,,,,,,,,,,176.95,2.0
11590-100257353,,지상,서울특별시 동작구 상도로34길 62-6,3.0,0.0,1.0,,,,,,,,,,176.79,0.0
11545-12668,,지상,서울특별시 금천구 금하로 720,11.0,2.0,3.0,,,,,,,,,,329.46,81.0
11200-21090,,지상,서울특별시 성동구 광나루로 214,1.0,0.0,0.0,,,,,,,,,,0.0,0.0
